Year,Cash (non-retirement),S&P 500 (non-retirement),tax-exempt bonds (non-retirement),S&P 500 (pre-tax),S&P 500 (after-tax)
2025,100,10817.70931274729,1992,10591.241693769263,2144.7385012284117
2026,100,11461.308646057825,1984.032,10891.973388597331,2258.582253885698
2027,1000,73180.61068764451,1976.0958719999999,11898.446823086746,9344.287859003842
2028,1000,93128.69455588004,39912.29766680573,12770.681459254765,16851.073620911542
2029,1000,138175.4948378633,59218.06921622713,13550.306084710273,24865.432478689698
2030,1000,182500.5730169332,78214.53129297137,14341.604245881786,33268.962784605355
2031,1000,227955.94751833426,97695.40607928611,14718.067504402954,42435.78808447837
2032,1000,281293.12191398436,120554.19510599329,15642.102360896512,50941.851116540434
2033,1000,338496.61156403826,145069.97638458782,16874.137734490636,60725.63640923098
2034,1000,386039.6126638524,165445.54828450817,17424.82540680304,71785.0395560879
2035,1000,442867.6264037631,189800.41131589847,18063.90430863859,82325.59877342185
2036,1000,508001.2515719777,217714.82210227617,19210.11979377151,94371.45990470226
2037,1000,573435.8660689676,245758.22831527184,20362.88059110376,107493.63918397322
2038,69889.22345026895,609691.8050970874,261296.48789875174,21181.155351296926,114622.24096369602
2039,138928.65450716577,654383.9848207282,260251.30194715672,21908.781044341747,123103.1110603702
2040,209138.29231837537,704786.9518066893,259210.2967393681,22654.926494317642,129129.76333449822
2041,279406.8628163652,757183.9214425026,258173.45555241063,23957.07963952792,138046.34847472518
2042,350591.42629779427,812584.2052209246,257140.761730201,24935.407651136695,145760.89081278758
2043,421168.0438622541,838706.6357634214,256112.19868328018,27533.37613056235,156997.2461382121
2044,492571.50212950516,856132.5732282281,255087.74988854706,28963.924688361996,167866.10045346577
2045,564312.6188792553,899322.411160787,254067.39888899287,30850.809237483074,183267.94844051005
2046,635966.8354830211,942714.4168125938,253051.1292934369,32910.94550496877,188755.0637963097
2047,707402.2825564338,1004161.6205680425,252038.92477626316,34821.851007137426,204118.95815980277
2048,778749.5542379912,1054112.0256513793,251030.7690771581,36674.38681002111,216335.55976721045
2049,850070.7296675609,1112546.7410805335,250026.64600084946,39551.16604108486,222545.75201915327
2050,921696.1693829603,1138950.0739086187,249026.53941684606,0,283340.58619586925
2051,971677.5130666019,1200380.035554452,248030.43325917868,0,295384.5737555802
2052,1020136.9555522458,1257060.3743395968,247038.31152614197,0,317375.97090399364
2053,1067564.7308792027,1338742.393214439,246050.1582800374,0,337462.5687613302
2054,1114262.7249077603,1465760.2904748064,245065.95764691726,0,360648.71404031606
2055,1159419.9573743003,1566453.5432664098,244085.69381632959,0,378811.1310986725
2056,1202660.845119176,1625992.2059120594,243109.35104106428,0,395825.31765432947
2057,1244619.770296881,1732164.3037224344,242136.91363690002,0,408251.99934554927
2058,1285440.9732891975,1850138.8978093485,241168.3659823524,0,437089.92328408454
2059,1323997.1986740893,1952143.043515027,240203.692518423,0,455086.1980865605
2060,1361540.5595716336,2048099.3115616979,239242.8777483493,0,485553.2196415284
2061,1396958.0861547193,2147486.155884168,238285.9062373559,0,520348.54934433795
2062,1464076.9110270934,2268793.413588237,237332.76261240648,0,545770.6602566733
2063,1529510.5310994491,2444256.4362770496,236383.43156195685,0,572281.5665245616
2064,1593310.1671546923,2543245.6491995747,235437.89783570904,0,612739.8978249895
