Year,Bond Fund (after-tax),Equity Fund (pre-tax),Bond Copy (after-tax),Bond Copy 2 (after-tax),Cash (non-retirement),Equity Fund (after-tax)
2025,23803.12949614603,15868.752997430689,482.51876824566517,726.0964650688253,57982.030654495284,34696.601426855515
2026,20445.578677835754,0,800.5549503128557,1209.156462569762,111010.55497949448,45953.598687947735
2027,17765.933188995365,0,1046.103274326365,1605.9804612846597,169532.4179853803,43490.98852499378
2028,15180.06615596162,0,1230.110571020185,1931.4024998791451,239316.2360084646,39700.97472425382
2029,13243.35202823723,0,1417.030698568481,2224.7236970851836,321582.92335100286,37399.90873515405
2030,11118.455461853551,0,1190.0309455763681,1850.9512576014101,420622.2603605741,32888.310473523816
2031,9578.77703734845,0,990.3704286112854,1570.9963487393647,387570.6247532655,30986.107983884554
2032,7895.638455604275,0,844.8394892996184,1331.3756407397568,387970.83400978893,28101.367576949397
2033,6794.688785136109,0,681.6410833183263,1081.2249071894198,388557.9321808379,26382.347226155478
2034,5687.8736345788975,0,601.8836437663001,874.664308675292,389381.03256161854,24363.673253047822
